Suburb|Address|Rooms|Type|Price|Method|SellerG|Date|Distance|Postcode|Bedroom2|Bathroom|Car|Landsize|BuildingArea|YearBuilt|CouncilArea|Lattitude|Longtitude|Regionname|Propertycount
Warrandyte|29 Lynette Av|4|h|850000.0|SP|Philip|3/06/2017|1211534.6225670814|3113.0|||||485459.7162178705|||||Eastern Metropolitan|2003.0
Brunswick East|15 Ethel St|2|h|957000.0|S|Nelson|22/05/2016|726931.5940528398|3057.0|2.0|1.0|1.0|148.0|1443279.5590819868||Moreland|-37.7722|144.9751|Northern Metropolitan|5533.0
Elwood|32 Burns St|4|h|1875000.0|S|Pride|12/11/2016|2733450.4935023207|3184.0|4.0|2.0|0.0|223.0|1334099.23545067|1910.0|Port Phillip|-37.882|144.993|Southern Metropolitan|8989.0
Scoresby|17 Gilbert Ct|3|h|1000000.0|S|Ray|8/07/2017|-431546.2661020513|3179.0|3.0|1.0|1.0|433.0|425391.3977508268||Darebin|-37.73189|145.01535|Southern Metropolitan|2206.0
Elwood|2/21 Milton St|2|u|560000.0|PI|Jellis|16/04/2016|1210691.2762562037|3184.0|2.0|1.0|0.0|0.0|828597.396118287|1930.0|Port Phillip|-37.8751|144.987|Southern Metropolitan|8989.0
Richmond|43 Type St|3|h|1270000.0|S|Biggin|27/11/2016|1040678.51383143|3121.0|3.0|1.0|1.0|152.0|1574792.0359893113|1910.0|Yarra|-37.8219|145.0096|Northern Metropolitan|14949.0
Melbourne|12/73 Queens Rd|2|u|620000.0|S|Kay|23/04/2016|375830.09650584986|3000.0|||||354641.5504184033|||||Northern Metropolitan|17496.0
Keilor East|23 Viewbank Dr|4|h|732000.0|S|Nelson|28/08/2016|1172129.4808339672|3033.0|4.0|2.0|2.0|544.0|99008.72111178293|1980.0|Moonee Valley|-37.7479|144.8763|Western Metropolitan|5629.0
Bentleigh East|109 Victor Rd|4|h|1100000.0|S|Woodards|8/10/2016|-326429.59480135486|3165.0|4.0|2.0|4.0|653.0|530299.0547425261||Glen Eira|-37.9244|145.0792|Southern Metropolitan|10969.0
Glenroy|4/17 Finchley Av|3|t|622250.0|S|Eview|8/04/2017|419871.24673338456|3046.0|||||579494.624542059|||||Northern Metropolitan|8870.0
Sunshine North|1 Metherall St|4|h|630000.0|S|Barry|8/04/2017|567050.9941691682|3020.0|||||277830.8336604808|||-37.7657|144.8286|Western Metropolitan|4217.0
Braybrook|1/16 Barrie Ct|2|u|480000.0|S|hockingstuart|6/05/2017|-495948.86716772744|3019.0|||||1052009.9945387286|||||Western Metropolitan|3589.0
Reservoir|1 Harmer St|4|h|885000.0|S|hockingstuart|26/07/2016|565688.6009285888|3073.0|4.0|2.0|3.0|936.0|692191.1590376579|1985.0|Darebin|-37.7021|145.0178|Northern Metropolitan|21650.0
Carlton North|80 Wilson St|2|h|1678000.0|S|Nelson|25/02/2017|2291721.083458844|3054.0|||||2824758.238265703|||||Northern Metropolitan|3106.0
Melbourne|605/55 Queens Rd|1|u|400000.0|PI|RT|3/09/2016|1022939.4139892934|3000.0|||||-119578.77108533654|||||Northern Metropolitan|17496.0
Sunshine|4 Farnsworth St|3|h|865000.0|S|Douglas|27/05/2017|411025.09893697593|3020.0|3.0|1.0|2.0|550.0|773196.4064339168||Brimbank|-37.77972000000001|144.83809|Western Metropolitan|3755.0
Fitzroy|411/416 Gore St|3|u|1060000.0|PI|Jellis|12/08/2017|2245466.1657049074|3065.0|5.0|3.0|3.0|785.0|1439120.913390551|1980.0|Manningham|-37.78148|145.17818|Northern Metropolitan|5825.0
Coburg|37 Elizabeth St|3|h|680000.0|S|Nelson|3/12/2016|-897066.4304486522|3058.0|3.0|1.0|0.0|702.0|2065044.9948795724|1950.0|Moreland|-37.7391|144.9812|Northern Metropolitan|11204.0
Northcote|3 Northcote St|3|h|1610000.0|SP|Nelson|20/05/2017|320391.0884321034|3070.0|3.0|2.0|1.0|411.0|1747183.581861149||Darebin|-37.7744|145.0077|Northern Metropolitan|11364.0
Newport|1/31 Elizabeth St|2|u|560000.0|SP|Williams|23/04/2016|1327869.9486024794|3015.0|||||186804.15789913718|||||Western Metropolitan|5498.0
St Kilda|416/163 Fitzroy St|1|u|320000.0|VB|LITTLE|16/07/2016|610692.4865378665|3182.0|1.0|2.0|1.0|0.0|-447624.9442168693|2013.0|Port Phillip|-37.8587|144.9797|Southern Metropolitan|13240.0
Bentleigh East|75a Parkmore Rd|4|t|1200000.0|VB|Buxton|12/08/2017|1632257.275202327|3165.0|2.0|2.0|1.0|3093.0|1009619.4788824607|2006.0|Stonnington|-37.86165|145.02148|Southern Metropolitan|10969.0
Elwood|4/6 May St|2|u|750000.0|S|Gary|3/12/2016|111516.17617752416|3184.0|2.0|1.0|1.0|0.0|181773.8093698121|1930.0|Port Phillip|-37.8791|144.9923|Southern Metropolitan|8989.0
Bulleen|92 Swanston St|4|h|1110000.0|PI|Barry|3/09/2016|614971.8082898203|3105.0|3.0|2.0|2.0|562.0|939412.0843591095||Manningham|-37.7628|145.0994|Eastern Metropolitan|4480.0
Elsternwick|31 Prentice St|3|h|1450000.0|S|Biggin|19/11/2016|1978462.8286860732|3185.0|3.0|1.0|2.0|351.0|977245.7431033228|1915.0|Glen Eira|-37.8832|145.0133|Southern Metropolitan|4898.0
Brunswick West|10 Yarrabin St|3|h|810000.0|S|Brad|7/11/2016|460577.98047704593|3055.0|3.0|1.0|2.0|349.0|82255.10019577434|1950.0|Moreland|-37.7589|144.9368|Northern Metropolitan|7082.0
Elwood|4/25 Kingsley St|1|u|451000.0|S|Chisholm|19/11/2016|1566950.9932061804|3184.0|1.0|1.0|1.0|0.0|600646.9288656554|1970.0|Port Phillip|-37.8895|144.9902|Southern Metropolitan|8989.0
Sunshine|13 Cannon St|3|h|605000.0|S|Barry|19/11/2016|968078.5421562691|3020.0|3.0|1.0|1.0|462.0|991930.3961600274|1956.0|Brimbank|-37.7969|144.8276|Western Metropolitan|3755.0
Brighton|23 Arthur Av|5|h|3000000.0|VB|Buxton|12/08/2017|4584926.028143119|3186.0|||||3182058.7749995138|||||Eastern Metropolitan|10579.0
Keilor East|92A Brees Rd|3|t|660000.0|PI|Barry|27/11/2016|2007510.741924522|3033.0|3.0|2.0|1.0|265.0|1556525.8413082387||Moonee Valley|-37.7444|144.8763|Western Metropolitan|5629.0
Brunswick East|12 Lyndhurst Cr|4|h|1900000.0|S|Nelson|18/03/2017|3070470.942254493|3057.0|||||1754640.341240966|||||Northern Metropolitan|5533.0
Keilor East|171 Sterling Dr|3|h|695000.0|S|Barry|27/06/2016|1960944.6098231769|3033.0|3.0|1.0|3.0|0.0|1459230.964176277||Brimbank|-37.7483|144.85|Western Metropolitan|5629.0
Oakleigh|1/233 Huntingdale Rd|3|u|637000.0|S|Ray|26/07/2016|2595934.829949349|3166.0|3.0|1.0|2.0|119.0|218102.94164682046|1970.0|Monash|-37.9058|145.1043|Southern Metropolitan|3224.0
Sunshine North|86 Sandford Av|3|h|545000.0|S|Sweeney|22/08/2016|1213795.4516772889|3020.0|||||1094330.6401635094|||||Western Metropolitan|4217.0
St Albans|46A Collins St|3|t|460000.0|S|Ray|17/06/2017|1416227.5751259932|3021.0|3.0|1.0|1.0|160.0|-859607.6954850256|2000.0|Brimbank|-37.73915|144.80289|Western Metropolitan|14042.0
Williamstown|10 Crofton Dr|5|h|2040000.0|S|Greg|13/05/2017|3242858.0086029163|3016.0|5.0|3.0|2.0|531.0|2853079.79394919|1997.0|Hobsons Bay|-37.8629|144.8781|Western Metropolitan|6380.0
Reservoir|40 Hughes Pde|4|h|770000.0|S|Love|4/03/2017|768469.0657013514|3073.0|4.0|1.0|2.0|855.0|1011419.374342264||Darebin|-37.6997|145.0043|Northern Metropolitan|21650.0
Malvern East|30 Forster Av|3|h|2020000.0|S|Marshall|28/08/2016|2939371.073541283|3145.0|||||1528254.1609297583|||||Southern Metropolitan|8801.0
Glen Iris|130 High St|4|h|1550000.0|PI|Jellis|14/05/2016|1649637.912287335|3146.0|4.0|0.0|0.0|769.0|2497195.107818631||Boroondara|-37.8628|145.0734|Southern Metropolitan|10412.0
Albion|3 Clairmont St|3|h|787000.0|S|hockingstuart|3/06/2017|947743.6654643995|3020.0|3.0|1.0|3.0|716.0|2032500.1828512247|1955.0|Brimbank|-37.77917|144.81407|Western Metropolitan|2185.0
Oak Park|117A Vincent St|2|t|790000.0|S|Eview|17/06/2017|1069903.8694510257|3046.0|2.0|2.0|1.0|208.0|1610710.4737377698|2010.0|Moreland|-37.71679|144.90901000000005|Northern Metropolitan|2651.0
Burwood|250 Burwood Hwy|3|h|1732000.0|S|Ray|27/05/2017|2169866.735952266|3125.0|3.0|1.0|0.0|646.0|1333750.870446867||Whitehorse|-37.85049|145.11687|Southern Metropolitan|5678.0
Reservoir|82 Radford Rd|3|h|690000.0|S|Nelson|8/07/2017|713124.1446212466|3073.0|2.0|1.0|1.0|1103.0|1467084.923027172|1970.0|Glen Eira|-37.90188|145.04172|Northern Metropolitan|21650.0
Brunswick East|8/380 Lygon St|2|u|530000.0|S|hockingstuart|22/04/2017|25662.059478060633|3057.0|||||725805.8807240231|||-37.7671|144.9727|Northern Metropolitan|5533.0
South Yarra|4/4 Powell St|1|u|401500.0|S|hockingstuart|15/07/2017|1562688.6929763176|3141.0|2.0|1.0|1.0|2012.0|539063.7632978037|81.0|Darebin|-37.72919|145.00533|Southern Metropolitan|14887.0
Thornbury|50b Clyde St|3|h|1250000.0|VB|Nelson|24/09/2016|2929217.3433174323|3071.0|3.0|2.0|3.0|297.0|860897.755040383|2013.0|Darebin|-37.7617|145.0117|Northern Metropolitan|8870.0
Glen Iris|65 Gardiner Pde|2|h|1650000.0|PI|hockingstuart|17/06/2017|2010006.0843707381|3146.0|2.0|1.0|2.0|660.0|2039152.487654757|1928.0|Boroondara|-37.85671|145.0604|Southern Metropolitan|10412.0
Sunshine North|100 McIntyre Rd|3|h|490000.0|PI|Douglas|4/06/2016|348580.9555402496|3020.0|3.0|1.0|2.0|541.0|637243.7471471808||Brimbank|-37.7669|144.8308|Western Metropolitan|4217.0
Heidelberg Heights|3 Dougharty Rd|3|h|790000.0|S|Miles|1/07/2017|580975.6363714368|3081.0|3.0|2.0|1.0|458.0|677592.9552269275||Banyule|-37.73569000000001|145.05913|Eastern Metropolitan|2947.0
Oakleigh South|3/6 Reid St|2|u|601000.0|SP|Ray|12/08/2017|169775.9364419757|3167.0|||||530904.5078622878|||||South-Eastern Metropolitan|3692.0
Mont Albert|40 Zetland Rd|6|h|2350000.0|PI|Kay|12/11/2016|1808456.9271194462|3127.0|6.0|3.0|3.0|2026.0|1730156.783518347||Whitehorse|-37.8176|145.1117|Eastern Metropolitan|2079.0
South Morang|37 Grange Dr|4|h|810000.0|S|RW|22/07/2017|2832171.9716129964|3752.0|||||442482.22309841757|||||Northern Metropolitan|7969.0
Glenroy|14 William St|3|h|501000.0|SP|Raine|28/05/2016|-569665.3516985597|3046.0|3.0|1.0|1.0|348.0|738253.407247487||Moreland|-37.7119|144.9111|Northern Metropolitan|8870.0
Ashburton|50a Baker Pde|4|h|1730000.0|SP|hockingstuart|18/06/2016|2827327.09574359|3147.0|||||1895113.3951951456|||||Southern Metropolitan|3052.0
Newport|5/222 Mason St|3|t|595000.0|PI|Greg|8/10/2016|410816.44519746467|3015.0|||||144655.6740857347|||-37.8404|144.8652|Western Metropolitan|5498.0
Balwyn|27 Bevan St|4|h|2400000.0|VB|RW|3/12/2016|2464149.7011080133|3103.0|4.0|2.0|2.0|744.0|2140800.416638636|1985.0|Boroondara|-37.8147|145.0748|Southern Metropolitan|5682.0
Bulleen|130 Manningham Rd|3|h|880000.0|PI|Barry|4/06/2016|610460.6023087009|3105.0|3.0|2.0|2.0|514.0|1081161.5893525106|1960.0|Manningham|-37.7683|145.0959|Eastern Metropolitan|4480.0
Point Cook|54 Lancaster Dr|4|h|599900.0|SP|Biggin|8/07/2017|1980855.1510281682|3030.0|||||756572.266003487|||||Western Metropolitan|15542.0
Oakleigh South|10 Luain Av|3|h|885000.0|S|Win|8/10/2016|622342.5464600159|3167.0|||||891091.0509945445|||||South-Eastern Metropolitan|3692.0
Brighton|1/10 Manor St|3|h|1650000.0|S|Nick|10/09/2016|698743.8753125152|3186.0|3.0|2.0|2.0|0.0|1838593.9763731027|1980.0|Bayside|-37.9174|144.9895|Southern Metropolitan|10579.0
St Kilda|8/98 Barkly St|3|h|1120000.0|PI|hockingstuart|18/03/2017|705729.5989815919|3182.0|3.0|2.0|2.0|1039.0|1220019.5585826118|2006.0|Port Phillip|-37.8638|144.982|Southern Metropolitan|13240.0
Mooroolbark|95 Cardigan Rd|4|h|651000.0|S|Ray|17/06/2017|428075.35805439827|3138.0|4.0|2.0|2.0|854.0|22722.54319844651||Yarra Ranges|-37.78883|145.3275|Eastern Victoria|8280.0
Bentleigh East|370 McKinnon Rd|2|h|1630000.0|S|C21|25/02/2017|1320716.1835071829|3165.0|2.0|1.0|2.0|724.0|1048951.886075909||Glen Eira|-37.9135|145.0557|Southern Metropolitan|10969.0
Caulfield North|9/400 Dandenong Rd|2|u|420000.0|VB|Gary|10/09/2016|854123.7702279416|3161.0|2.0|1.0|1.0|0.0|534055.9073004522|2012.0|Glen Eira|-37.861|145.0136|Southern Metropolitan|6923.0
Brighton|3/4 Seaview Av|2|u|810000.0|S|Marshall|19/11/2016|1355372.6804583026|3186.0|||||1040559.7543108787|||||Southern Metropolitan|10579.0
Malvern East|11 Findon St|2|h|1036000.0|S|Biggin|3/12/2016|816912.9790635824|3145.0|2.0|1.0|1.0|310.0|834691.7155504413|1910.0|Stonnington|-37.8717|145.0399|Southern Metropolitan|8801.0
Hampton East|1/2 Flowerdale Rd|3|u|957000.0|S|Buxton|24/06/2017|2135177.8190315533|3188.0|3.0|2.0|2.0|254.0|2972099.2028234107|1994.0|Bayside|-37.94313|145.03501|Southern Metropolitan|2356.0
Kew|10 Vaughan Cr|3|h|1200000.0|SP|Marshall|10/09/2016|654329.6100613059|3101.0|||||1145851.071767392|||||Southern Metropolitan|10331.0
Richmond|21A Kent St|2|t|842000.0|S|Jellis|18/03/2017|552943.7383159166|3121.0|2.0|2.0|1.0|0.0|654480.942517956||Yarra|-37.8145|145.0014|Northern Metropolitan|14949.0
Burwood East|30 Newhaven Rd|3|h|968000.0|S|Harcourts|17/06/2017|2025621.7032361596|3151.0|3.0|1.0|1.0|612.0|1331249.4451987576||Whitehorse|-37.85586|145.15827|Eastern Metropolitan|4048.0
Essendon|1/10 Schofield St|3|u|786000.0|S|Nelson|3/06/2017|872228.907129938|3040.0|3.0|2.0|1.0|138.0|382412.7218561499|1982.0|Moonee Valley|-37.75284|144.90975|Western Metropolitan|9264.0
Thomastown|19 Millgrove Av|4|h|760000.0|S|Harcourts|27/05/2017|-226575.6862286434|3074.0|||||1088317.3509861936|||||Northern Metropolitan|7955.0
Sunshine|2/6 Farnsworth St|2|h|435000.0|PI|Douglas|30/07/2016|858384.7202717643|3020.0|2.0|1.0|1.0|155.0|-208650.98842352864|1940.0|Brimbank|-37.7796|144.8384|Western Metropolitan|3755.0
Bulleen|38 Balwyn Rd|3|h|905000.0|S|Barry|10/12/2016|933138.3758088909|3105.0|3.0|3.0|2.0|401.0|384583.3414124436|1965.0|Manningham|-37.7733|145.0901|Eastern Metropolitan|4480.0
Ivanhoe|4/13 Ivanhoe Pde|2|u|705000.0|S|Miles|10/12/2016|659837.1346178846|3079.0|2.0|1.0|1.0|94.0|367443.3395405058||Banyule|-37.7679|145.0452|Eastern Metropolitan|5549.0
Ascot Vale|10 Ayr St|3|h|965000.0|S|Alexkarbon|28/08/2016|-157481.69305187673|3032.0|3.0|1.0|0.0|216.0|513981.59855982295||Moonee Valley|-37.7792|144.9297|Western Metropolitan|6567.0
Balwyn North|8 Moule Av|2|h|1453000.0|S|Fletchers|24/06/2017|2505292.432430908|3104.0|||||1978472.958956659|||||Southern Metropolitan|7809.0
Brunswick East|164 Blyth St|4|h|1310000.0|S|Jellis|8/04/2017|561258.5277877975|3057.0|4.0|1.0|2.0|449.0|1416415.8196975582|1930.0|Moreland|-37.7671|144.9762|Northern Metropolitan|5533.0
Niddrie|60 Teague St|3|h|1200000.0|S|Brad|8/04/2017|1176377.9210822505|3042.0|3.0|1.0|1.0|650.0|670780.544773279||Moonee Valley|-37.7436|144.8856|Western Metropolitan|2291.0
Hawthorn|69 Power St|4|h|2610000.0|S|Marshall|10/09/2016|900742.2957806212|3122.0|4.0|2.0|7.0|0.0|3751311.2901522983||Boroondara|-37.8187|145.0272|Southern Metropolitan|11308.0
Bayswater North|17 Kalawar Av|3|h|762000.0|S|Ray|15/07/2017|2380120.8105066456|3153.0|3.0|1.0|6.0|732.0|1375625.492425443||Maribyrnong|-37.82252|144.87718|Eastern Metropolitan|3598.0
Bulleen|4 Chateau Ri|5|h|1900000.0|PI|Barry|12/11/2016|1863278.91474516|3105.0|||||2037291.0364920509|||||Eastern Metropolitan|4480.0
Bayswater|17 Orange Gr|3|h|700000.0|S|Biggin|3/06/2017|836020.5357259809|3153.0|3.0|2.0|1.0|509.0|652889.0460268481|1980.0|Knox|-37.84823|145.26673|Eastern Metropolitan|5030.0
Mount Waverley|3 Rowan Ct|3|h|1615000.0|S|Gary|27/05/2017|2203719.4713790286|3149.0|3.0|1.0|2.0|1321.0|2105040.668149283||Monash|-37.88569|145.1438|Eastern Metropolitan|13366.0
Cremorne|308/163 Cremorne St|2|u|565000.0|S|hockingstuart|24/09/2016|-867348.0185122858|3121.0|2.0|1.0|1.0|0.0|360067.6592579645|2007.0|Yarra|-37.8301|144.9904|Northern Metropolitan|1123.0
Pascoe Vale|3 Hazel Gr|3|h|1465000.0|S|Nelson|4/03/2017|1197814.492155382|3044.0|3.0|1.0|2.0|956.0|1329147.8868223648||Moreland|-37.7308|144.9397|Northern Metropolitan|7485.0
Carnegie|26 Railway Rd|4|h|1667000.0|S|Ray|20/05/2017|811525.6571441784|3163.0|4.0|2.0|2.0|615.0|1931918.814788654|1920.0|Glen Eira|-37.8928|145.0531|Southern Metropolitan|7822.0
Greensborough|178 Henry St|3|h|760000.0|S|Barry|3/06/2017|-505679.8784612378|3088.0|3.0|1.0|3.0|570.0|1436043.249638204||Banyule|-37.70817|145.10028|Northern Metropolitan|8524.0
Epping|8 Shields St|3|h|560000.0|S|HAR|29/07/2017|744324.2540446981|3076.0|3.0|1.0|0.0|1960.0|656180.5617352346|85.0|Casey|-37.99608|145.23587|Northern Metropolitan|10926.0
Thornbury|3 Tharratt St|3|h|1420000.0|S|Ray|24/06/2017|220673.74308167817|3071.0|3.0|1.0|2.0|438.0|1416424.5594507498||Darebin|-37.75375|145.00846|Northern Metropolitan|8870.0
Meadow Heights|13 Allendale Ct|3|h|520000.0|S|RW|15/07/2017|-155464.844974044|3048.0|3.0|1.0|2.0||826737.196217487||Hume|-37.68599|144.91195|Northern Metropolitan|4704.0
Fairfield|1/72 Rathmines St|2|u|510000.0|S|hockingstuart|18/03/2017|-43678.61258288415|3078.0|2.0|1.0|1.0|1658.0|381689.51227333635|1970.0|Darebin|-37.7781|145.0157|Northern Metropolitan|2970.0
Altona North|1/8 Conway Ct|3|t|723000.0|SP|Village|17/06/2017|2168626.210972966|3025.0|||||731566.7250970037|||||Western Metropolitan|5132.0
Moonee Ponds|31 Bruce St|3|t|902000.0|S|Frank|17/09/2016|503108.1504698064|3039.0|||||-291419.0854560456|||||Western Metropolitan|6232.0
Pascoe Vale|2/2 Bellevue Tce|2|u|495000.0|SP|Brad|7/05/2016|445297.6683891164|3044.0|3.0|1.0|2.0|205.0|903029.6855272105||Moreland|-37.7317|144.9313|Northern Metropolitan|7485.0
Heidelberg West|3a Katoomba Ct|5|h|765000.0|S|Nelson|3/09/2016|533953.615029564|3081.0|3.0|2.0|2.0|415.0|645679.458569541||Banyule|-37.7354|145.0381|Eastern Metropolitan|2674.0
Thornbury|118 Rossmoyne St|4|h|1400000.0|S|McGrath|27/05/2017|-454908.67614127224|3071.0|4.0|2.0|0.0|364.0|2302065.720108373||Darebin|-37.75807|145.00782|Northern Metropolitan|8870.0
Surrey Hills|8 Charles St|4|h|1530000.0|S|Fletchers|8/10/2016|1415712.5399376492|3127.0|4.0|2.0|2.0|486.0|1882200.429149929|1890.0|Whitehorse|-37.8258|145.1116|Southern Metropolitan|5457.0
South Yarra|6/1 Walsh St|2|u|1300000.0|PI|Williams|8/10/2016|1373584.681133839|3141.0|2.0|2.0|1.0|0.0|678639.4376990398|1980.0|Melbourne|-37.8376|144.9847|Southern Metropolitan|14887.0
Richmond|140/73 River St|2|u|604000.0|SP|Biggin|22/05/2016|-82267.88978626963|3121.0|2.0|2.0|2.0|0.0|1247466.410491148|2009.0|Yarra|-37.8189|145.0131|Northern Metropolitan|14949.0
Avondale Heights|3 Clive Ct|4|h|950000.0|S|Moonee|10/12/2016|1396728.1453252018|3034.0|4.0|3.0|3.0|761.0|1877943.634371426|1970.0|Moonee Valley|-37.7524|144.8714|Western Metropolitan|4502.0
Elwood|59 Spray St|3|h|1911000.0|S|Marshall|4/03/2017|2816091.2767310333|3184.0|3.0|1.0|2.0|327.0|2274122.2800815967|1900.0|Port Phillip|-37.8846|144.9879|Southern Metropolitan|8989.0
Carrum|2/21 Stanley St|3|t|885000.0|SP|Buxton|27/05/2017|345650.7304747328|3197.0|||||1031454.8014552131|||||South-Eastern Metropolitan|1989.0
Reservoir|13 Nutwood St|4|h|755000.0|SP|Ray|12/08/2017|472543.04538210534|3073.0|||||881465.5535568959|||||Northern Metropolitan|21650.0
Elwood|8/68 Goldsmith St|2|u|630000.0|PI|Hodges|25/02/2017|-624753.199308217|3184.0|2.0|1.0|1.0|0.0|133717.90980952865|1935.0|Port Phillip|-37.8817|144.984|Southern Metropolitan|8989.0
Port Melbourne|204/52 Nott St|2|u|575000.0|S|Biggin|13/05/2017|293260.21080360713|3207.0|2.0|1.0|1.0|7159.0|-216177.2429699346|2008.0|Port Phillip|-37.841|144.9386|Southern Metropolitan|8648.0
Coburg|3/30 Shaftsbury St|2|u|451000.0|S|RT|24/09/2016|1875111.6981767463|3058.0|2.0|1.0|1.0|0.0|59063.566296771634|1970.0|Moreland|-37.752|144.954|Northern Metropolitan|11204.0
Doncaster|33 Clay Dr|4|h|2600000.0|SP|Barry|3/06/2017|3239100.4750925014|3108.0|4.0|4.0|2.0|1072.0|2586830.6475394582|1960.0|Manningham|-37.79094|145.12733|Eastern Metropolitan|9028.0
Moonee Ponds|25 Wilson St|4|h|1505000.0|S|Frank|25/02/2017|1163220.5144301616|3039.0|4.0|2.0|2.0|441.0|1808046.1061067688|1910.0|Moonee Valley|-37.7627|144.9278|Western Metropolitan|6232.0
Hurstbridge|40 Anzac Av|5|h|790000.0|S|Mason|12/08/2017|3307031.290633652|3099.0|3.0|1.0|1.0|333.0|900511.9857123395|1930.0|Boroondara|-37.82737|145.02971000000005|Southern Metropolitan|1345.0
Reservoir|5 Glasgow Av|2|h|590000.0|PI|Love|12/11/2016|1748870.0250905158|3073.0|||||620899.672049716|||||Northern Metropolitan|21650.0
Toorak|8/2 Douglas St|1|u|462800.0|SP|hockingstuart|8/10/2016|198785.73853568407|3142.0|1.0|1.0|1.0|0.0|178838.72557372172|1970.0|Stonnington|-37.8392|145.00799999999995|Southern Metropolitan|7217.0
Richmond|104/8 Howard St|1|u|385000.0|VB|RT|27/11/2016|1247008.2563154693|3121.0|1.0|1.0|1.0|0.0|-113556.90946083773|2005.0|Yarra|-37.8331|144.9975|Northern Metropolitan|14949.0
Parkdale|4/25 White St|1|t|503750.0|SP|Barry|15/07/2017|-618504.6050742804|3195.0|||||-530721.9114735374|||||South-Eastern Metropolitan|5087.0
Seddon|278 Nicholson St|2|h|701000.0|PI|Village|30/07/2016|175252.97079181788|3011.0|2.0|1.0|0.0|164.0|1100688.6436738635|1910.0|Maribyrnong|-37.8078|144.8979|Western Metropolitan|2417.0
Reservoir|9/99 Barton St|2|u|335000.0|S|Love|22/08/2016|1399684.2844994734|3073.0|2.0|1.0|1.0|0.0|113114.02117497685|2012.0|Darebin|-37.7112|144.9989|Northern Metropolitan|21650.0
Brunswick East|1 Nunan St|4|h|856000.0|S|Harrington|3/12/2016|-4321.592508270871|3057.0|4.0|2.0|2.0|136.0|1630423.9533355862|1997.0|Moreland|-37.7601|144.9805|Northern Metropolitan|5533.0
Balwyn North|45 Viewhill Rd|3|h|1911000.0|S|Ray|8/04/2017|3072050.7704249127|3104.0|||||1950049.8070633956|||||Southern Metropolitan|7809.0
Elsternwick|2/21 Gisborne St|2|h|1160000.0|SP|Chisholm|12/11/2016|-367456.2840436481|3185.0|2.0|2.0|2.0|155.0|1361746.9271621092|2011.0|Glen Eira|-37.8887|145.0046|Southern Metropolitan|4898.0
Prahran|10/37 Greville St|1|u|325000.0|VB|Biggin|6/08/2016|-395575.8377896007|3181.0|1.0|1.0|1.0|0.0|-70549.95787144866||Stonnington|-37.8486|144.9872|Southern Metropolitan|7717.0
Caulfield East|3/14 Queens Av|2|t|910000.0|SP|Gary|20/05/2017|398150.5258948594|3145.0|||||1735418.3277372932|||||Southern Metropolitan|608.0
East Melbourne|2/35 Powlett St|2|u|900000.0|SP|Caine|25/02/2017|2040982.786269365|3002.0|2.0|1.0|1.0|0.0|520744.6207007017||Melbourne|-37.8154|144.9851|Northern Metropolitan|3040.0
Bentleigh East|1/22 Brooks St|3|t|1055000.0|SP|Buxton|20/05/2017|1129671.6282487083|3165.0|3.0|2.0|2.0|301.0|823499.2380132047|2000.0|Glen Eira|-37.9167|145.077|Southern Metropolitan|10969.0
Preston|16 Swallow St|3|h|1000000.0|S|Barry|26/07/2016|1059166.645555695|3072.0|4.0|1.0|2.0|621.0|1253188.7397800894||Darebin|-37.7415|145.0084|Northern Metropolitan|14577.0
Eaglemont|10 Silverdale Rd|3|h|2270000.0|VB|Miles|17/06/2017|798861.2003736494|3084.0|3.0|1.0|2.0|1143.0|1570035.492535885||Banyule|-37.76774|145.05303|Eastern Metropolitan|1651.0
Brunswick West|1 Marion Av|2|h|989000.0|S|Ray|12/11/2016|1374300.7923805884|3055.0|||||830739.6083925397|||||Northern Metropolitan|7082.0
Richmond|3/61 Stawell St|2|u|696000.0|S|Jellis|27/06/2016|176159.12346711018|3121.0|2.0|2.0|1.0|0.0|1109234.4625519929|2008.0|Yarra|-37.822|145.0104|Northern Metropolitan|14949.0
Caulfield South|14 Stone St|4|h|1550000.0|S|hockingstuart|27/05/2017|471802.05245899217|3162.0|4.0|1.0|2.0|584.0|1693812.8848859372||Glen Eira|-37.89694|145.02176|Southern Metropolitan|5051.0
Strathmore|27 Woolart St|4|h|1052000.0|S|Considine|3/09/2016|2098074.538808633|3041.0|4.0|2.0|2.0|699.0|392639.5964110736||Moonee Valley|-37.7207|144.9073|Western Metropolitan|3284.0
Ascot Vale|7 Elliott St|3|h|1490000.0|S|Nelson|20/05/2017|1724509.9868176328|3032.0|3.0|2.0|1.0|542.0|1182974.682773063||Moonee Valley|-37.781|144.9095|Western Metropolitan|6567.0
South Yarra|23/350 Toorak Rd|3|u|1235000.0|S|Jellis|1/07/2017|870890.2382199953|3141.0|3.0|2.0|1.0|0.0|313647.3815221767||Stonnington|-37.84024|145.00038999999995|Southern Metropolitan|14887.0
Glen Iris|2/15 Scott Gr|3|t|1253000.0|S|Abercromby's|8/04/2017|2038037.34330916|3146.0|3.0|2.0|2.0|0.0|1245988.8361435204|1995.0|Stonnington|-37.8574|145.0494|Southern Metropolitan|10412.0
Newport|78A Oxford St|4|h|1316000.0|S|Williams|27/11/2016|1452158.5645214678|3015.0|4.0|2.0|3.0|539.0|1325479.34905746|2000.0|Hobsons Bay|-37.8366|144.8773|Western Metropolitan|5498.0
